Rank,Term,Score,Search term?,Category?
1,primary production,210.87,y,process indicator?
2,food web,193.33,y,structure
3,phytoplankton biomass,90.60,y,symptom
4,heterotrophic bacteria,90.17,y,
5,nutrient input,81.91,y,
6,nutrient loading,78.16,y,
7,coastal water,76.15,y,
8,organic matter,73.52,y,
9,marine ecosystem,68.12,y,
10,nutrient enrichment,67.38,y,
11,growth rate,65.83,y,
12,organic carbon,63.33,y,
13,coastal ecosystem,62.00,y,
14,loading rate,60.80,y,
15,state space,60.42,n,
16,southern ocean,59.73,n,
17,el nino,58.00,y,* ni*
18,euphotic zone,52.80,y,
19,nutrient loading rate,51.89,y,
20,conceptual model,51.00,n,
21,food web structure,50.94,y,
22,flow network,45.71,y,
23,open ocean,45.60,y,
24,climate change,45.44,y,
25,growth efficiency,44.41,y,
26,north sea,43.65,n,
27,surface water,43.55,y,
28,trophic cascade,41.65,y,
29,emiliania huxleyi,41.38,y,coco..
30,ecosystem health,41.25,y,
31,fega treatment,41.00,n,
32,chesapeake bay,39.77,n,
33,san francisco bay,39.38,n,
34,algal biomass,39.00,y,
35,coastal eutrophication,37.67,y,
36,planktonic food web,37.62,y,
37,nutrient supply,37.40,y,
38,north pacific,37.09,n,
39,bransfield strait,37.00,n,
40,primary productivity,36.94,y,
41,marine primary production,34.95,y,
42,atmospheric co2,34.86,y,
43,nutrient limitation,34.00,y,
44,ocean acidification,33.67,y,
45,phytoplankton growth,32.29,y,
46,pelagic food web,31.53,y,
47,copepod biomass,31.43,y,
48,scotia sea,30.67,n,
49,regime shift,30.00,y,
50,water column,29.78,y,
51,subtropical gyre,28.83,n,
52,sea surface temperature,28.61,y,
53,phytoplankton bloom,28.60,y,
54,north atlantic,27.85,n,
55,inorganic carbon,27.67,y,
56,food chain,27.44,y,
57,drake passage,27.25,n,
57,bacterial production,27.25,y,
59,trophic position,27.00,y,
60,phytoplankton community,26.83,y,
61,inverse modelling,26.00,n,
61,ciliate biomass,26.00,y,
63,deep-sea research ii,25.36,n,
64,n ratio,25.00,n,
64,zooplankton group,25.00,y,
66,surface ocean,24.33,y,
67,trace metal,24.00,y,
68,marine system,23.75,y,
69,spring bloom,23.64,y,
70,baltic sea,23.50,n,
71,redfield ratio,23.00,y,
71,nitrogen fixation,23.00,y,
73,sea ice,22.82,y,
74,production rate,22.38,y,
75,sea surface,21.80,y,
76,algal bloom,21.71,y,
77,inorganic n,21.00,y,
77,autotrophic production,21.00,y,
79,mesocosm experiment,20.75,n,
80,san francisco,20.71,n,
81,weddell sea,20.62,n,
82,plankton community,20.45,y,
83,flow network construction,20.19,n,
84,calanoid copepod,20.00,y,
84,organic c,20.00,y,
84,northern san francisco bay,20.00,n,
84,organic peroxide,20.00,n,
88,o l o g y o f t h e,19.93,n,
89,monterey bay,19.57,n,
90,coastal zone,19.50,y,
91,carbon cycle,19.38,y,
92,coastal marine ecosystem,19.02,y,
92,emiliania huxleyi proteome,19.02,n,
92,i s t r y a n d b,19.02,n,
95,primary producer,19.00,y,
96,antarctic peninsula,18.57,n,
97,state variable,18.50,n,
98,low nutrient,18.38,n,nutrient
99,cell size,18.35,y,
100,mixed layer,18.14,y,
101,net primary production,18.02,y,
102,ecosystem function,18.00,y,
102,fe treatment,18.00,n,
102,inorganic nutrient,18.00,y,
105,marine phytoplankton,17.80,y,
106,sedimentation rate,17.67,y,
107,dutch wadden sea,17.60,n,
108,carbon dioxide,17.17,y,
109,north pacific subtropical gyre,17.00,n,
110,nutrient input rate,16.43,y,
111,global ocean,16.36,y,
112,phytoplankton assemblage,16.33,y,
113,microbial food web,16.10,y,
114,cell density,16.00,y,
114,pg c,16.00,n,
114,poc production,16.00,y,
117,nutrient content,15.80,y,
117,release rate,15.80,y,
119,equatorial pacific,15.77,n,
120,c l-1,15.50,n,
121,continuous plankton recorder,15.43,n,
121,phytoplankton primary production,15.43,y,
121,south shetland islands,15.43,n,
124,c ratio,15.00,n,
124,bacterial growth,15.00,y,
124,global warming,15.00,y,
127,input rate,14.89,n,
128,marine plankton,14.86,y,
129,specific growth rate,14.85,y,
130,deep water,14.80,y,
131,carbon flow,14.75,y,
132,system state,14.71,n,
133,ecosystem state,14.67,y,
133,mass balance,14.67,n,
135,sea water,14.43,y,
136,table s1,14.29,n,
137,lg c l-1,14.26,n,
137,gross primary production,14.26,y,
139,pacific subtropical gyre,14.02,n,
140,biogeochemical cycle,14.00,y,
140,p ratio,14.00,n,
140,p limitation,14.00,y,
140,heterotrophic group,14.00,y,
140,co2 condition,14.00,n,
140,small algae,14.00,y,
140,eastern pacific,14.00,n,
147,reference condition,13.75,n,
148,o c e a n s,13.63,n,
149,iron enrichment,13.50,y,
149,light intensity,13.50,y,
151,research council,13.36,n,
152,pacific ocean,13.33,n,
153,marine pelagic food web,13.00,y,
153,surface layer,13.00,y,
153,long-term trend,13.00,n,
153,ne atlantic coastal water,13.00,n,
153,deep-sea res,13.00,n,
153,emergent property,13.00,n,
153,black sea,13.00,n,
153,upper ocean,13.00,y,
153,control treatment,13.00,n,
162,assimilation efficiency,12.83,y,
163,carbon fixation,12.80,y,
163,wadden sea,12.80,n,
165,monte carlo simulation,12.68,n,
165,upper mixed layer,12.68,y,
167,spatial pattern,12.25,y,
168,mixed-layer depth,12.00,y,
168,elevated co2,12.00,y,
168,organic n,12.00,y,
168,bottom water,12.00,y,
172,n loading rate,11.68,y,
173,earth system,11.67,y,
174,mineral p,11.50,y,
175,ecosystem model,11.36,y,
176,carbonate chemistry,11.31,y,
177,phytoplankton cell size,11.24,y,
178,tropical pacific,11.22,n,
179,phytoplankton community composition,11.09,y,
179,aquatic microbial ecology,11.09,y,
179,net autotrophic production,11.09,y,
182,human activity,11.00,n,
182,continental shelf,11.00,y,
182,new york,11.00,n,
182,size fraction,11.00,n,
182,karl dm,11.00,n,
182,regression line,11.00,n,
182,export production,11.00,y,
182,phytoplankton production,11.00,y,
182,c biomass,11.00,y,
182,euclidian distance,11.00,n,
182,coastal system,11.00,y,
193,phytoplankton cell,10.93,y,
194,dec release,10.67,n,
194,ocean ph,10.67,y,
194,phytoplankton specie,10.67,y,
