--------------------------------------------------------------------------------
publication + genre + date
--------------------------------------------------------------------------------
457, Scientific Reports, Research, 2014
282, Nature Communications, Research, 2014
266, Scientific Reports, Research, 2013
219, The ISME Journal, Research, 2014
203, The ISME Journal, Research, 2013
181, The ISME Journal, Research, 2011
165, Nature Communications, Research, 2013
164, The ISME Journal, Research, 2010
155, The ISME Journal, Research, 2012
141, Nature, Research, 2001
138, Nature Climate Change, Research, 2012
131, The ISME Journal, Research, 2009
130, Nature, Research, 2000
128, Nature, Research, 2004
123, Scientific Reports, Research, 2015
122, Nature, Research, 2014
122, Nature, Research, 1999
122, Nature, Research, 2005
115, Nature, Research, 1998
113, Nature Climate Change, Research, 2014
110, Nature, Research, 2002
107, The ISME Journal, Research, 2008
106, Nature, Research, 2013
101, Nature, Research, 2008
95, Nature, Research, 2003
92, Nature, Research, 2007
92, Nature Geoscience, Research, 2013
92, Nature, Research, 2006
91, Nature, Research, 2012
87, Nature Geoscience, Research, 2010
86, Nature, Research, 2011
82, Nature Geoscience, Research, 2011
81, Nature Geoscience, Research, 2014
81, Nature Geoscience, Research, 2012
78, Scientific Reports, Research, 2012
78, Nature Climate Change, Research, 2013
78, Nature, Research, 2009
77, Nature, Research, 2010
76, Nature Geoscience, Research, 2008
76, Nature Geoscience, Research, 2009
67, Nature News, News, 2010
66, The ISME Journal, Research, 2007
60, Nature Communications, Research, 2015
58, Nature, News, 2010
58, Nature Communications, Research, 2012
57, Nature News, News, 2009
51, Nature News, News, 2008
48, Nature Communications, Research, 2011
44, Nature, News, 2009
44, Nature, News, 2007
43, Nature News, News, 2012
42, Nature, News, 2012
42, Nature, Comments and Opinion, 2009
42, Nature News, News, 2011
42, Nature, News, 2013
40, Nature, News and Views, 2000
39, Nature, News, 2014
39, Nature, News and Views, 1999
38, Nature Geoscience, News and Views, 2010
38, Nature News, News, 2013
38, Nature, News, 2006
38, Nature Climate Change, Comments and Opinion, 2011
37, Nature Climate Change, Research, 2011
37, Nature, Comments and Opinion, 2007
37, Nature, News, 2011
36, Nature Geoscience, News and Views, 2009
35, The ISME Journal, Research, 2015
34, Nature Geoscience, News and Views, 2008
34, Nature Climate Change, Comments and Opinion, 2014
34, Nature, News and Views, 2014
33, Nature, News and Views, 2013
